Source,Comment,BoardWidth,BoardHeight,TextLabel,Type,Graphics,Xref,GraphId,GroupRef,BiopaxRef,Attribute,GroupId,Style,CenterX,CenterY,PublicationXref,openControlledVocabulary,GraphRef,Href,Key,Value
,,,,TBX5,GeneProduct,,,ab940,,,,,,,,,,,,,
,,,,SGPL1,GeneProduct,,,ad758,,,,,,,,,,,,,
,,,,NKX6-1,GeneProduct,,,adb54,,,,,,,,,,,,,
,,,,PRSS51,GeneProduct,,,adc17,,,,,,,,,,,,,
,,,,L-methionyl-[protein],Metabolite,,,aeb32,d16ee,,,,,,,,,,,,
,,,,C8orf49,GeneProduct,,,b0761,,,,,,,,,,,,,
,,,,GATA4,GeneProduct,,,b309c,,,,,,,,,,,,,
,,,,TERF1,GeneProduct,,,b351b,,,,,,,,,,,,,
,,,,HEPACAM2,GeneProduct,,,b4228,,,,,,,,,,,,,
,,,,FAM167A,GeneProduct,,,b5fb9,,,,,,,,,,,,,
,,,,NADPH,Metabolite,,,b66b5,d74e0,,,,,,,,,,,,
,,,,MCRS1,GeneProduct,,,b84d2,,,,,,,,,,,,,
,,,,MEPE,GeneProduct,,,ba7b9,,,,,,,,,,,,,
,,,,[thioredoxin]-dithiol,Metabolite,,,bc783,d6ddc,,,,,,,,,,,,
,,,,Lipopolysaccharide,Metabolite,,,bca9b,,,,,,,,,,,,,
,,,,C8orf74,GeneProduct,,,bef55,,,,,,,,,,,,,
,,,,"2'-deoxyribonucleotide-(2'-
deoxyribose 5'-phosphate)-
2'-deoxyribonucleotide-DNA",Metabolite,,,c044c,,,,,,,,,,,,,
,,,,L-tyrosyl-[protein],Metabolite,,,c04e0,ab64b,,,,,,,,,,,,
,,,,MTMR9,GeneProduct,,,c12e7,f4eeb,,,,,,,,,,,,
,,,,H2O,Metabolite,,,c16a5,d16ee,,,,,,,,,,,,
,,,,TLR2,GeneProduct,,,c2907,,,,,,,,,,,,,
,,,,nicotinamide,Metabolite,,,c332b,de73a,,,,,,,,,,,,
,,,,MTMR8,GeneProduct,,,c458f,,,,,,,,,,,,,
,,,,Proteasome degradation,Pathway,,,c56b6,,,,,,,,,,,,,
,,,,TNKS,GeneProduct,,,c6fa8,,,,,,,,,,,,,
,,,,O-phospho-L-tyrosyl-[protein],Metabolite,,,c745c,ac56d,,,,,,,,,,,,
,,,,XKR6,GeneProduct,,,c78cd,,,,,,,,,,,,,
,,,,Talazoparib,Metabolite,,,c834f,,,,,,,,,,,,,
,,,,TLR4,GeneProduct,,,c8952,,,,,,,,,,,,,
,,,,RP1L1,GeneProduct,,,ca152,,,,,,,,,,,,,
,,,,BMP1,GeneProduct,,,ca15f,,,,,,,,,,,,,
,,,,CLDN23,GeneProduct,,,ca2f2,,,,,,,,,,,,,
,,,,H+,Metabolite,,,cac68,ac56d,,,,,,,,,,,,
,,,,Squalene,Metabolite,,,cc631,ea4c6,,,,,,,,,,,,
,,,,SLC35G5,GeneProduct,,,cc969,,,,,,,,,,,,,
,,,,Mg2+,Metabolite,,,cdbb0,,,,,,,,,,,,,
,,,,WNT signaling,Pathway,,,ce1d6,,,,,,,,,,,,,
,,,,p38 MAPK signaling pathway,Pathway,,,ce9e3,,,,,,,,,,,,,
,,,,BLK,GeneProduct,,,ceb91,,,,,,,,,,,,,
,,,,Beta-catenin independent WNT signaling,Pathway,,,d321d,,,,,,,,,,,,,
,,,,NAD+,Metabolite,,,d4ebc,ad7d6,,,,,,,,,,,,
,,,,ATP,Metabolite,,,d5882,ab64b,,,,,,,,,,,,
,,,,H+,Metabolite,,,d6251,e81c0,,,,,,,,,,,,
,,,,NEIL2,GeneProduct,,,d7666,,,,,,,,,,,,,
,,,,NADP+,Metabolite,,,d912d,ea4c6,,,,,,,,,,,,
,,,,MSRA,GeneProduct,,,d96b6,,,,,,,,,,,,,
,,,,MAPK1,GeneProduct,,,da1a7,c38d0,,,,,,,,,,,,
,,,,FDFT1,GeneProduct,,,db467,,,,,,,,,,,,,
,,,,SLC2A4,GeneProduct,,,db9b6,,,,,,,,,,,,,
,,,,DEFB136,GeneProduct,,,dba2a,,,,,,,,,,,,,
,,,,FCGR2A,GeneProduct,,,dcaf6,,,,,,,,,,,,,
,,,,Diphosphate,Metabolite,,,dd527,ea4c6,,,,,,,,,,,,
,,,,CTSB,GeneProduct,,,ddf6a,,,,,,,,,,,,,
,,,,NUMA1,GeneProduct,,,df225,,,,,,,,,,,,,
,,,,SOX7,GeneProduct,,,dfe80,,,,,,,,,,,,,
,,,,TERT,GeneProduct,,,e0366,,,,,,,,,,,,,
,,,,"2 (2E,6E)-farnesyl diphosphate",Metabolite,,,e3cbc,d74e0,,,,,,,,,,,,
,,,,"3'-end 2'-deoxyribonucleotide-
(2,3-dehydro-2,3-deoxyribose 
5'-phosphate)-DNA",Metabolite,,,e49a9,e81c0,,,,,,,,,,,,
,,,,AP-1,GeneProduct,,,e63fc,,,,,,,,,,,,,
,,,,FCGR2B,GeneProduct,,,e8cab,,,,,,,,,,,,,
,,,,H+,Metabolite,,,ea9b2,d74e0,,,,,,,,,,,,
,,,,MAPK3,GeneProduct,,,eb74b,c38d0,,,,,,,,,,,,
,,,,ERI1,GeneProduct,,,ebb1e,,,,,,,,,,,,,
,,,,C8orf12,GeneProduct,,,ebd30,,,,,,,,,,,,,
,,,,L-methionyl-(S)-S-oxide-[protein],Metabolite,,,ec180,d6ddc,,,,,,,,,,,,
,,,,S100A10,GeneProduct,,,ed000,,,,,,,,,,,,,
,,,,Base excision repair,Pathway,,,ed454,,,,,,,,,,,,,
,,,,PINX1,GeneProduct,,,ef361,,,,,,,,,,,,,
,,,,FCGR2C,GeneProduct,,,ef3a8,,,,,,,,,,,,,
,,,,CTSD,GeneProduct,,,efb64,,,,,,,,,,,,,
,,,,4-O-(ADP-D-ribosyl)-L-aspartyl residue,Metabolite,,,f049d,de73a,,,,,,,,,,,,
,,,,SLBP,GeneProduct,,,f11db,,,,,,,,,,,,,
,,,,RNA,Metabolite,,,f17b7,,,,,,,,,,,,,
,,,,XAV939,Metabolite,,,f195a,,,,,,,,,,,,,
,,,,"5'-end 5'-monophospho-
2'-deoxyribonucleoside-DNA",Metabolite,,,f36a4,e81c0,,,,,,,,,,,,
,,,,RAF1,GeneProduct,,,f3fa1,c38d0,,,,,,,,,,,,
,,,,AXIN1,GeneProduct,,,f4ac4,,,,,,,,,,,,,
,,,,PRSS55,GeneProduct,,,f6bbc,,,,,,,,,,,,,
,,,,PDX1,GeneProduct,,,f7786,,,,,,,,,,,,,
,,,,L-aspartyl,Metabolite,,,f83c3,ad7d6,,,,,,,,,,,,
,,,,Sphingolipid metabolism,Pathway,,,fa724,,,,,,,,,,,,,
,,,,HSPD1,GeneProduct,,,fb541,,,,,,,,,,,,,
,,,,CGAS,GeneProduct,,,ffc0c,,,,,,,,,,,,,
,,,,DEFB135,GeneProduct,,,c02cf,,,,,,,,,,,,,
,,,,DEFB134,GeneProduct,,,c0460,,,,,,,,,,,,,
,,,,FCGR2A,GeneProduct,,,ad4a3,,,,,,,,,,,,,
,,,,FCGR2B,GeneProduct,,,a5434,,,,,,,,,,,,,
,,,,FCGR2C,GeneProduct,,,adc9c,,,,,,,,,,,,,
,,,,CGAS,GeneProduct,,,e9ebd,,,,,,,,,,,,,
,,,,,,,,a9a71,,,,,,,,,,ad4a3,,,
,,,,,,,,c275d,,,,,,,,,,a5434,,,
,,,,,,,,f2bbb,,,,,,,,,,adc9c,,,
,,,,,,,,df126,,,,,,,,,,e9ebd,,,
,,,,,,,,id119f4c54,,aa0,,,,,,,,,,,
,,,,,,,,id140c2a23,,f56,,,,,,,,,,,
,,,,,,,,id16fdd1e4,,e77,,,,,,,,,,,
,,,,,,,,id1cee4d4d,,e2e,,,,,,,,,,,
,,,,,,,,id1cfbb27f,,,,,,,,,,,,,
,,,,,,,,id1ddb2681,,bff,,,,,,,,,,,
,,,,,,,,id1e73b2b3,,,,,,,,,,,,,
,,,,,,,,id2150832f,,d82,,,,,,,,,,,
,,,,,,,,id21be4e7b,,,,,,,,,,,,,
,,,,,,,,id21c7a005,,f01,,,,,,,,,,,
,,,,,,,,id26622cd8,,a67,,,,,,,,,,,
,,,,,,,,id27f97144,,e2e,,,,,,,,,,,
,,,,,,,,id298f9063,,,,,,,,,,,,,
,,,,,,,,id2eae6ad7,,bff,,,,,,,,,,,
,,,,,,,,id3162b78,,d1e,,,,,,,,,,,
,,,,,,,,id31d108fa,,,,,,,,,,,,,
,,,,,,,,id323114f2,,fd6,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q9UJ68/entry,,,,,,,id3347eed0,,cee,,,,,,,,,,,
,,,,,,,,id3aae860a,,da2,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/P51451/entry,,,,,,,id3d137797,,,,,,,,,,,,,
,,,,,,,,id42696015,,,,,,,,,,,,,
,,,,,,,,id46c5e59b,,b99,,,,,,,,,,,
,,,,,,,,id4799b224,,dac,,,,,,,,,,,
,,,,,,,,id49e81f6a,,bc8,,,,,,,,,,,
,,,,,,,,id4c780015,,,,,,,,,,,,,
,,,,,,,,id4ea419ad,,ddd,,,,,,,,,,,
,,,,,,,,id50808693,,fb8,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/P51451/entry,,,,,,,id5457a5d4,,,,,,,,,,,,,
,,,,,,,,id565196c0,,ef9,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q8IV48/entry,,,,,,,id58896b2,,,,,,,,,,,,,
,,,,,,,,id59e0a3d,,,,,,,,,,,,,
,,,,,,,,id5c4b75c3,,d2e,,,,,,,,,,,
,,,,,,,,id611a3a87,,bf5,,,,,,,,,,,
,,,,,,,,id69729edc,,bd4,,,,,,,,,,,
,,,,,,,,id75bff173,,fb8,,,,,,,,,,,
,,,,,,,,id75d072d8,,d82,,,,,,,,,,,
,,,,,,,,id78b6a911,,,,,,,,,,,,,
,,,,,,,,id85cfa00c,,,,,,,,,,,,,
,,,,,,,,id889970d8,,b91,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q8IWN7/entry,,,,,,,id8d947ff2,,e4b,,,,,,,,,,,
,,,,,,,,id8ed9799b,,,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q969S2/entry,,,,,,,id91e6a832,,,,,,,,,,,,,
,,,,,,,,id9665e30c,,ef9,,,,,,,,,,,
,,,,,,,,id974a5834,,dc3,,,,,,,,,,,
,,,,,,,,id9c2eb650,,a83,,,,,,,,,,,
,,,,,,,,id9c619f73,,ebf,,,,,,,,,,,
,,,,,,,,id9d6a627b,,c10,,,,,,,,,,,
,,,,,,,,id9e2ec6b5,,bf5,,,,,,,,,,,
,,,,,,,,id9e8ba85a,,bf0,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q6UWB4/entry,,,,,,,ida0655e26,,,,,,,,,,,,,
,,,,,,,,ida2a6ca97,,fd6,,,,,,,,,,,
,,,,,,,,ida348cb0e,,,,,,,,,,,,,
,,,,,,,,ida4eaef82,,f3b,,,,,,,,,,,
,,,,,,,,ida6ec2dcd,,c36,,,,,,,,,,,
,,,,,,,,idaa37f30f,,bf5,,,,,,,,,,,
,,,,,,,,idabd1dd3f,,e4a,,,,,,,,,,,
,,,,,,,,idad616e5b,,,,,,,,,,,,,
,,,,,,,,idb1d340b5,,ed4,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q96B33/entry,,,,,,,idbc5060de,,,,,,,,,,,,,
,,,,,,,,idc00d518a,,b91,,,,,,,,,,,
,,,,,,,,idc2f3ae04,,ed4,,,,,,,,,,,
,,,,,,,,idc7fb0fa7,,d69,,,,,,,,,,,
,,,,,,,,idce98b695,,f01,,,,,,,,,,,
,,,,,,,,idd05b2ca4,,e77,,,,,,,,,,,
,,,,,,,,idd1843b32,,c10,,,,,,,,,,,
,,,,,,,,idd3298f54,,e2e,,,,,,,,,,,
,,,,,,,,idd343dbac,,d1e,,,,,,,,,,,
,,,,,,,,idd37505b1,,dc3,,,,,,,,,,,
,,,,,,,,idd4c8ddb2,,bb9,,,,,,,,,,,
,,,,,,,,idd838993,,bd4,,,,,,,,,,,
,,,,,,,,idde4a8cba,,aa0,,,,,,,,,,,
,,,,,,,,ide004e546,,fd6,,,,,,,,,,,
,,,,,,,,idec79d207,,da2,,,,,,,,,,,
,,,,,,,,ideca0346d,,,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q86XI6/entry,,,,,,,idf2180ddf,,,,,,,,,,,,,
,,,,,,,,idf9c98fc7,,f11,,,,,,,,,,,
,,,,,,,,idfbe2e835,,e2e,,,,,,,,,,,
,,,,,,,,idff75836f,,a74,,,,,,,,,,,
,https://www.uniprot.org/uniprotkb/Q6UWB4/entry,,,,,,,c9f91,,,,,,,,,,,,,
,,,,,,,,c3d32,,c10,,,,,,,,,,,
,,,,,,,,a4ec1,,c10,,,,,,,,,,,
,,,,,,,,c11a3,,c10,,,,,,,,,,,
,,,,,,,,f2db3,,c10,,,,,,,,,,,
,,,,,,,,ide82a8712,,,,,,,,,,,,,
,,,,,,,,cf75e,,,,,,,,,,,,,
,,,,Telomeres,,,,a01dd,,,,,,,,,,,,,
,,,,Prometaphase,,,,aa8ca,,,,,,,,,,,,,
,,,,Spindle pole assembly,,,,acf15,,,,,,,,,,,,,
,,,,M1 macrophage polarisation,,,,aed95,,,,,,,,,,,,,
,,,,Insulin secretion,,,,afbe3,,,,,,,,,,,,,
,,,,"chr8:8,098,990",,,,b2c59,,,,,,,,,,,,,
,,,,Vesicle traficking,,,,b55e5,,,,,,,,,,,,,
,,,,"Cardiac-super-enhancers
Cardiac development",,,,bb26b,,,,,,,,,,,,,
,,,,"Cardiac specific 
gene expression",,,,bd448,,,,,,,,,,,,,
,,,,Autophagy,,,,c9970,,,,,,,,,,,,,
,,,,Unknown function,,,,cd311,,,,,,,,,,,,,
,,,,"differentiation of 
photo-receptor cells",,,,d2acc,,,,,,,,,,,,,
,,,,antibacterial activity,,,,d30ac,,,,,,,,,,,,,
,,,,"Involved in 
histone regulation",,,,d7e0b,,,,,,,,,,,,,
,,,,Telomere shortening,,,,d9da2,,,,,,,,,,,,,
,,,,"Tight junction
",,,,e4568,,,,,,,,,,,,,
,,,,"chr8:11,872,558
",,,,f1838,,,,,,,,,,,,,
,,,,"Probably nvolved in
glycogen breakdown",,,,f76b1,,,,,,,,,,,,,
,,,,"Sugar and nucleotide
transporter",,,,fe9ee,,,,,,,,,,,,,
,,,,Unknown function,,,,ac6a0,,,,,,,,,,,,,
,,,,Unknown function,,,,bf0ef,,,,,,,,,,,,,
,,,,Unknown function,,,,c8390,,,,,,,,,,,,,
,,,,Unknown function,,,,e373a,,,,,,,,,,,,,
,,,,Unknown function,,,,bbb8b,,,,,,,,,,,,,
,,,,P,,,,a51c7,,,,,,,,,,,,,
,,,,P,,,,c55ec,,,,,,,,,,,,,
,,,,P,,,,a8dc4,,,,,,,,,,,,,
,,,,P,,,,e1e7c,,,,,,,,,,,,,
,,,,Unknown function,,,,b6bb6,,,,,,,,,,,,,
,,,,,,,,ac3a2,,,,,,,,,,,,,
,,,,,,,,f168f,,,,,,,,,,,,,
,,,,,,,,a65e0,,,,de73a,Group,,,,,,,,
,,,,,,,,c391b,,,,ab64b,Group,,,,,,,,
,,,,,,,,c9f8d,,,,d16ee,Group,,,,,,,,
,,,,,,,,d28d5,,,,ea4c6,Group,,,,,,,,
,,,,,,,,d3f22,,,,d6ddc,Group,,,,,,,,
,,,,,,,,e8cb5,,e4a,,f4eeb,Complex,,,,,,,,
,,,,,,,,ebea4,,,,ad7d6,Group,,,,,,,,
,,,,,,,,edc1e,,,,c38d0,Group,,,,,,,,
,,,,,,,,f11fe,,,,ac56d,Group,,,,,,,,
,,,,,,,,f17ef,,,,d74e0,Group,,,,,,,,
,,,,,,,,f5dd9,,,,e81c0,Group,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"RB1CC1, located on chromosome 8q11.23, is mainly involved in autophagy regulation. A loss of function or mutation in the gene can result in increased risk for schizophrenia (Degenhardt et al. 2013). ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,e6d,,,,,,,,,,,
,,914.0,507.5,,,,,,,,,,,,,,,,,,
,,,,PTK2B,GeneProduct,,,a05a2,,,,,,,,,,,,,
,,,,ATG101,GeneProduct,,,a8eac,ab657,,,,,,,,,,,,
,,,,TP53,GeneProduct,,,ae14b,,,,,,,,,,,,,
,,,,TNF,GeneProduct,,,ae330,,,,,,,,,,,,,
,,,,TRAF2,GeneProduct,,,b710f,,,,,,,,,,,,,
,,,,GABARAPL2,GeneProduct,,,bb232,c1d3a,,,,,,,,,,,,
,,,,RB1,GeneProduct,,,c1ca9,,,,,,,,,,,,,
,Complex portal,,,Autophagy initiation complex,Complex,,,c8e1a,ab657,,,,,,,,,,,,
,,,,RB1CC1,GeneProduct,,,ccc4f,,,,,,,,,,,,,
,,,,ULK1,GeneProduct,,,ce502,ab657,,,,,,,,,,,,
,,,,MAP3K5,GeneProduct,,,ee2b0,,,,,,,,,,,,,
,,,,GABARAP,GeneProduct,,,f6d7f,c1d3a,,,,,,,,,,,,
,,,,ATG16L1,GeneProduct,,,f7318,,,,,,,,,,,,,
,,,,ATG13,GeneProduct,,,f9938,ab657,,,,,,,,,,,,
,,,,PTK2,GeneProduct,,,f9b65,,,,,,,,,,,,,
,,,,WDR45B,GeneProduct,,,fcadd,,,,,,,,,,,,,
,,,,GABARAPL1,GeneProduct,,,feda0,c1d3a,,,,,,,,,,,,
,,,,RB1,Protein,,,f6442,,,,,,,,,,,,,
,,,,RB1CC1,GeneProduct,,,ec918,ab657,,,,,,,,,,,,
,,,,,,,,id184e6a27,,e5d,,,,,,,,,,,
,,,,,,,,id218de5fd,,a51,,,,,,,,,,,
,,,,,,,,id2cf83ca7,,ba2,,,,,,,,,,,
,,,,,,,,id3b7e8da8,,d7e,,,,,,,,,,,
,,,,,,,,id4648312a,,a51,,,,,,,,,,,
,,,,,,,,id467e7aba,,,,,,,,,,,,,
,,,,,,,,id5ba94ede,,f07,,,,,,,,,,,
,,,,,,,,id68ff637e,,a5d,,,,,,,,,,,
,,,,,,,,id6cb8f4de,,b0f,,,,,,,,,,,
,,,,,,,,id78a64bc,,cdc,,,,,,,,,,,
,,,,,,,,id7d0d4a20,,e5d,,,,,,,,,,,
,,,,,,,,idab827b80,,a8e,,,,,,,,,,,
,,,,,,,,idc41837b4,,,,,,,,,,,,,
,,,,,,,,a3962,,e5d,,,,,,,,,,,
,,,,,,,,b34f8,,,,c1d3a,Group,,,,,,,,
,,,,,,,,f080c,,,,ab657,Complex,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"Duchenne Muscular Dystrophy (DMD) is a genetic disorder characterized by progressive muscle degeneration and weakness due to the absence of dystrophin. Abnormal calcium handling is one of the key pathological features of DMD, which has been shown to contribute to muscle damage and impaired muscle contraction. This pathway shows how the absence of dystrophin can lead to reduced force generation due to the lack of calcium ions released from the sarcoplasmic reticulum during muscle contraction.",,,,,,,,,,,,,,,,,,,,
WikiPathways-description,Abnormal calcium handling and its effects on muscle contraction in DMD,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,Abnormal calcium handling and its effects on muscle contraction in DMD,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,Abnormal calcium handling and its effects on muscle contraction in DMD,,,,,,,,,,,,,,,,,,,,
,,1544.9287581714002,1339.6349427526509,,,,,,,,,,,,,,,,,,
,,,,leukotrienes,Metabolite,,,e9043,,,,,,,,,,,,,
,,,,Phospholipase A2,GeneProduct,,,ac258,,,,,,,,,,,,,
,,,,lysophospholipids,Metabolite,,,f4022,,,,,,,,,,,,,
,,,,"Platelet activating 
factor",Metabolite,,,fc9be,,,,,,,,,,,,,
,,,,CASQ 1,GeneProduct,,,f3a49,,,,,,,,,,,,,
,,,,IP3R,Metabolite,,,bb734,,,,,,,,,,,,,
,,,,Dystrobrevin alpha,GeneProduct,,,fbf66,eaa9b,,,,,,,,,,,,
,,,,Calpain 3,GeneProduct,,,fe789,,,,,,,,,,,,,
,,,,SERCA 1,GeneProduct,,,ba731,,cac,,,,,,,,,,,
,,,,Mutation in DMD gene,,,,b08f7,,fa7,,,,,,,,,,,
,,,,Syntrophin beta-1,GeneProduct,,,f6914,eaa9b,,,,,,,,,,,,
,,,,Absence of Dystrophin,,,,f1785,,fa7,,,,,,,,,,,
,,,,Troponin C,GeneProduct,,,e4fce,,eb1,,,,,,,,,,,
,,,,"Inflammatory pathways
",Pathway,,,dea40,,,,,,,,,,,,,
,,,,Pathway,Pathway,,,e4953,,,,,,,,,,,,,
,,,,alpha sarcoglycan,GeneProduct,,,cea25,eaa9b,,,,,,,,,,,,
,,,,RyR 1,GeneProduct,,,c068f,,cda,,,,,,,,,,,
,,,,Triadin,GeneProduct,,,a3d33,,b4b,,,,,,,,,,,
,,,,ROS production,,,,bd126,,b40,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,c3367,,,,,,,,,,,,,
,,,,"Voltage gated 
Ca2+ channel",GeneProduct,,,e34ed,,,,,,,,,,,,,
,,,,Sarcospan,GeneProduct,,,c3770,eaa9b,,,,,,,,,,,,
,,,,prostaglandins,Metabolite,,,adfb5,,,,,,,,,,,,,
,,,,Dystrophin,GeneProduct,,,abf59,eaa9b,,,,,,,,,,,,
,,,,"Myopathy
",Pathway,,,e733c,,,,,,,,,,,,,
,,,,Dystroglycan 1,GeneProduct,,,f54b2,eaa9b,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,dfc5f,,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,fdb97,,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,a902c,,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,c9cd4,,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,ae6fc,,,,,,,,,,,,,
,,,,,,,,id9f7bc24e,,b4b,,,,,,,,,,,
,,,,,,,,ideb2ffd75,,,,,,,,,,,,,
,,,,,,,,f71f2,,,,,,,,,,,,,
,,,,,,,,aa6e5,,a1a,,,,,,,,,,,
,,,,,,,,edf7a,,,,,,,,,,,,,
,,,,,,,,a1082,,,,,,,,,,,,,
,,,,,,,,c0d57,,,,,,,,,,,,,
,,,,,,,,ea771,,c77,,,,,,,,,,,
,,,,,,,,e9e4a,,,,,,,,,,,,,
,,,,,,,,c2feb,,,,,,,,,,,,,
,,,,,,,,c03b7,,,,,,,,,,,,,
,,,,,,,,a966d,,d6c,,,,,,,,,,,
,,,,,,,,b056f,,,,,,,,,,,,,
,,,,,,,,a368f,,,,,,,,,,,,,
,,,,,,,,fdd26,,,,,,,,,,,,,
,,,,,,,,c4cf5,,,,,,,,,,,,,
,,,,,,,,e073f,,,,,,,,,,,,,
,,,,,,,,d648e,,a85,,,,,,,,,,,
,,,,,,,,e5ddd,,a6e,,,,,,,,,,,
,,,,,,,,f9e37,,a1a,,,,,,,,,,,
,,,,,,,,c9086,,,,,,,,,,,,,
,,,,,,,,cef74,,eb1,,,,,,,,,,,
,,,,,,,,f0cd6,,eeb,,,,,,,,,,,
,,,,,,,,c5387,,,,,,,,,,,,,
,,,,,,,,d6fed,,,,,,,,,,,,,
,,,,,,,,b7273,,dac,,,,,,,,,,,
,,,,,,,,eae9f,,cda,,,,,,,,,,,
,,,,,,,,e5ada,,,,,,,,,,,,,
,,,,,,,,eb128,,eeb,,,,,,,,,,,
,,,,,,,,e5319,,,,,,,,,,,,,
,,,,,,,,ac0ca,,,,,,,,,,,,,
,,,,,,,,f0332,,eeb,,,,,,,,,,,
,,,,,,,,ad8d8,,eeb,,,,,,,,,,,
,,,,,,,,f37ab,,,,,,,,,,,,,
,,,,,,,,c1ec7,,,,,,,,,,,,,
,,,,,,,,b7e6f,,,,,,,,,,,,,
,,,,,,,,db10d,,,,,,,,,,,,,
,,,,,,,,d4bd0,,,,,,,,,,,,,
,,,,,,,,d83f2,,,,,,,,,,,,,
,,,,,,,,c6514,,,,,,,,,,,,,
,,,,Inhibition,,,,e471a,,,,,,,,,,,,,
,,,,"Alteration to 
expression and function",,,,d01fc,,,,,,,,,,,,,
,,,,Metabolite,,,,dc97e,,,,,,,,,,,,,
,,,,Stimulation,,,,cc1bc,,,,,,,,,,,,,
,,,,"Alteration in 
Ca2+ handling",,,,f0972,,,,,,,,,,,,,
,,,,Leakage,,,,b244d,,,,,,,,,,,,,
,,,,"Pathway
",,,,efb24,,,,,,,,,,,,,
,,,,Weakens,,,,c7fff,,,,,,,,,,,,,
,,,,SR,,,,fbdf8,,,,,,,,,,,,,
,,,,Decreased stimulation,,,,a7cbc,,,,,,,,,,,,,
,,,,"activation and 
increased 
expression",,,,e1824,,,,,,,,,,,,,
,,,,Myocyte Cytosol,,,,fa1ae,,,,,,,,,,,,,
,,,,Protein,,,,a2930,,,,,,,,,,,,,
,,,,Mitochondrial dysfuntion,,,,ecbac,,b40,,,,,,,,,,,
,,,,Extracellular Space,,,,ec1a7,,,,,,,,,,,,,
,,,,"Reduced force generation 
during muscle contraction",,,,c0094,,acf,,,,,,,,,,,
,,,,"Disassembled Dystrophin-associated 
glycoprotein complex (DAPC)",,,,a2753,,,,,,,,,,,,,
,,,,Protein,,,,c7373,,,,,,,,,,,,,
,,,,Metabolite,,,,f96ee,,,,,,,,,,,,,
,,,,,,,,eb503,,,,,,,,,,,,,
,,,,,,,,a535f,,,,,,,,,,,,,
,,,,,,,,a39ac,,,,,,,,,,,,,
,,,,,,,,bd5f6,,,,,,,,,,,,,
,,,,,,,,f9d21,,,,eaa9b,Complex,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"This AOP outlines how ACE-2 plays a detrimental role in causing fibrotic damage to the lung by influencing various factors such as fibrogenic components, proinflammatory cytokines, and a lack of oxygen. When the activity of ACE2 is suppressed, the conversion of Ang II into Ang-(1-7) is not properly facilitated. Consequently, the levels of proinflammatory Ang II rise, while the levels of anti-inflammatory Ang-(1-7) decrease. Notably, ACE2 inhibition has been observed to raise the levels of Ang II peptides, which are a ligand for the type 1 angiotensin receptor (AT1R). This phenomenon is considered a significant risk factor for lung fibrosis, vasoconstriction, endothelial dysfunction, and cell death.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,f38,,,,,,,,,,,
,,,,,,,,,,f5c,,,,,,,,,,,
,,,,,,,,,,fed,,,,,,,,,,,
,,1352.0,989.7453760093828,,,,,,,,,,,,,,,,,,
,,,,Prostaglandin signaling,Pathway,,,a550b,,,,,,,,,,,,,
,,,,Bradykinin signaling network,Pathway,,,b2397,,,,,,,,,,,,,
,,,,"Increased, secretion of proinflammatory and profibrotic mediators",,,,b99c0,,,,,,,,,,,,,
,,,,"Increase activation, Nuclear factor kappa B (NF-kB)",Event,,,ba262,,,,,,,,,,,,,
,,,,Metabolism of Angiotensinogen to Angiotensins,Pathway,,,c1af7,,,,,,,,,,,,,
,,,,"Increased, Reactive oxygen species",Event,,,cf66e,,,,,,,,,,,,,
,,,,Renin Angiotensin Aldosterone System,Pathway,,,d25dd,,,,,,,,,,,,,
,,,,"Bradykinin system, hyperactivated",,,,eb778,,,,,,,,,,,,,
,,,,KE1740: ACE2 inhibition,Event,,,f0a9a,,,,,,,,,,,,,
,,,,Oxidative stress,Pathway,,,f37f8,,,,,,,,,,,,,
,,,,NF-KB pathway,Pathway,,,f5a92,,,,,,,,,,,,,
,,,,KE1752: Increased Angiotensin II,Event,,,c9e7f,,,,,,,,,,,,,
,,,,KE1743: Increased plasma Angiotensin II,Event,,,e9df7,,,,,,,,,,,,,
